site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
241118181609,2026-01-03,2025-12-27,266.67,88,ecoli,22.82872624899833,92.26307436972913,0.2323600973236009,1,False,2.418863040392887,1.0543306220872184,243.8412737510017,winter,2026,61–120 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303396,2025-01-12,2025-01-05,10.0,28,turbidity_legacy,0.0,0.0,0.096026754522614,1,False,2.3978952727983707,2.3978952727983707,10.0,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303387,2025-02-28,2025-02-21,6.05,30,dissolved_oxygen,8.439731897487492,4.9,0.2714151219554555,1,False,2.3897318974874926,1.1499999999999995,2.3897318974874926,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5306103,2025-06-21,2025-06-14,1711.11,32,ecoli,156.5194586679631,256.3205691051535,0.2323600973236009,1,False,2.385932809241491,1.8951591487705715,1554.5905413320368,summer,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033101,2025-04-08,2025-04-01,533.33,33,ecoli,48.28161550742925,66.67000000000003,0.2323600973236009,1,False,2.38346252471842,2.066370675374669,485.0483844925708,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
241118181741,2026-01-03,2025-12-27,266.67,92,ecoli,24.255778584424537,30.85965219102699,0.2323600973236009,1,False,2.360699894134443,2.1284144908702896,242.41422141557547,winter,2026,61–120 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303391,2025-06-07,2025-05-31,15.8,14,water_temperature,13.471295824593687,11.54,0.3200956988115033,1,False,2.3287041754063136,4.260000000000002,2.3287041754063136,summer,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118182150,2025-07-12,2025-07-05,2200.0,30,ecoli,213.93593065714396,290.90674692442457,0.2323600973236009,1,False,2.3263270947522274,2.020232690112257,1986.064069342856,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182150,2025-05-04,2025-04-27,633.33,28,ecoli,62.690400987588866,133.32999999999996,0.2323600973236009,1,False,2.2985354634630593,1.552269864678565,570.6395990124112,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033105,2025-08-19,2025-08-12,18.8,35,conductivity,194.7135147942416,116.00000000000004,0.1805929919137466,1,False,2.290969993051085,1.7764919970972666,175.9135147942416,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-09-17,2025-09-10,18.3,29,conductivity,186.4098342138716,113.47270417003352,0.1805929919137466,1,False,2.273192749645056,1.780231307135586,168.10983421387158,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182520,2025-03-02,2025-02-23,300.0,28,ecoli,30.231078812165684,100.00000000000004,0.2323600973236009,1,False,2.2656965499529975,1.0919897479076157,269.76892118783434,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303321,2026-01-28,2026-01-21,7.2,30,dissolved_oxygen,9.452625750920868,8.831818181818182,0.1987607476344032,1,False,2.252625750920868,1.6318181818181818,2.252625750920868,winter,2026,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303319,2025-07-19,2025-07-12,800.0,98,ecoli,83.20948131606826,100.20673086368176,0.2323600973236009,1,False,2.252553427455614,2.068695681916031,716.7905186839317,summer,2025,61–120 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118182616,2026-01-30,2026-01-23,3733.33,28,other_coliform,400.00000000000006,400.00000000000006,0.309073865259054,1,False,2.2313622699655973,2.2313622699655973,3333.33,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5306101,2025-09-06,2025-08-30,16.5,47,water_temperature,14.287701469524697,12.72222222222222,0.3846899924808494,1,False,2.2122985304753033,3.7777777777777803,2.2122985304753033,autumn,2025,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303392,2026-01-04,2025-12-28,80.0,44,turbidity_reported,8.000000000000002,8.000000000000002,0.0338672507963649,1,False,2.1972245773362196,2.1972245773362196,72.0,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-04-15,2025-04-08,14.5,24,conductivity,138.25353727485975,116.00000000000004,0.1805929919137466,1,False,2.1954562568924834,2.0213339108725554,123.75353727485975,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303360,2025-05-19,2025-05-12,283.33,23,ecoli,30.875783001648305,66.67000000000003,0.2323600973236009,1,False,2.18828896749095,1.435492585181291,252.45421699835168,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033101,2025-08-29,2025-08-22,6.2,35,dissolved_oxygen,8.386557003736188,9.6,0.3650596665534664,1,False,2.186557003736188,3.3999999999999995,2.186557003736188,summer,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
