csv_line,target,reported,candidate_formula,matches_candidate_formula
1472,alkalinity,105.0,105.0,True
1473,alkalinity,90.0,90.0,True
1474,alkalinity,55.0,55.0,True
1475,alkalinity,80.0,80.0,True
1476,alkalinity,70.0,70.0,True
1477,alkalinity,60.0,60.0,True
1478,alkalinity,50.0,50.0,True
1479,alkalinity,60.0,60.0,True
1480,alkalinity,55.0,55.0,True
1481,alkalinity,70.0,70.0,True
1482,alkalinity,85.0,85.0,True
1483,alkalinity,75.0,75.0,True
1484,alkalinity,90.0,90.0,True
1485,alkalinity,85.0,85.0,True
1486,alkalinity,60.0,60.0,True
1487,alkalinity,60.0,60.0,True
1488,alkalinity,65.0,65.0,True
1489,alkalinity,80.0,80.0,True
1490,alkalinity,75.0,75.0,True
1491,alkalinity,95.0,95.0,True
1492,alkalinity,75.0,75.0,True
1493,alkalinity,95.0,95.0,True
1494,alkalinity,70.0,70.0,True
1495,alkalinity,95.0,95.0,True
1496,alkalinity,90.0,90.0,True
1497,alkalinity,80.0,80.0,True
1498,alkalinity,75.0,75.0,True
1499,alkalinity,75.0,75.0,True
1500,alkalinity,70.0,70.0,True
1501,alkalinity,75.0,75.0,True
1502,alkalinity,70.0,70.0,True
1503,alkalinity,85.0,85.0,True
1504,alkalinity,70.0,70.0,True
1505,alkalinity,105.0,105.0,True
1506,alkalinity,70.0,70.0,True
1507,alkalinity,70.0,70.0,True
1509,alkalinity,90.0,90.0,True
1510,alkalinity,90.0,90.0,True
1511,alkalinity,120.0,120.0,True
1512,alkalinity,100.0,100.0,True
1513,alkalinity,75.0,75.0,True
1514,alkalinity,95.0,95.0,True
1515,alkalinity,95.0,95.0,True
1516,alkalinity,95.0,95.0,True
1517,alkalinity,110.0,110.0,True
1518,alkalinity,115.0,115.0,True
1532,alkalinity,50.0,50.0,True
1533,alkalinity,65.0,65.0,True
1534,alkalinity,55.0,55.0,True
1535,alkalinity,20.0,20.0,True
1536,alkalinity,30.0,30.0,True
1537,alkalinity,45.0,45.0,True
1538,alkalinity,15.0,15.0,True
1539,alkalinity,30.0,30.0,True
1540,alkalinity,25.0,25.0,True
1541,alkalinity,45.0,45.0,True
1542,alkalinity,35.0,35.0,True
1543,alkalinity,50.0,50.0,True
1544,alkalinity,45.0,45.0,True
1545,alkalinity,45.0,45.0,True
1587,alkalinity,55.0,55.0,True
1588,alkalinity,85.0,85.0,True
1589,alkalinity,55.0,55.0,True
1590,alkalinity,50.0,50.0,True
1591,alkalinity,90.0,90.0,True
1592,alkalinity,180.0,180.0,True
1593,alkalinity,85.0,85.0,True
1594,alkalinity,60.0,60.0,True
1595,alkalinity,80.0,80.0,True
1596,alkalinity,50.0,50.0,True
1597,alkalinity,50.0,50.0,True
1598,alkalinity,55.0,55.0,True
1600,alkalinity,130.0,130.0,True
1601,alkalinity,45.0,45.0,True
1602,alkalinity,80.0,80.0,True
1603,alkalinity,50.0,50.0,True
1604,alkalinity,100.0,100.0,True
1605,alkalinity,170.0,170.0,True
1606,alkalinity,120.0,120.0,True
1607,alkalinity,180.0,180.0,True
